Test Run for Data taking:
Trial, Device, Channel, Tile, IMON, RMON, VCOMP
6, 0, 10, 22, 0.370, 1.380, 0.004

 
6, 0, 11, 24, 0.300, 1.400, 0.004

 
6, 0, 12, 26, 0.400, 1.381, 0.004

 
6, 0, 13, 28, 0.320, 1.381, 0.004

 
6, 0, 14, 30, 0.340, 1.392, 0.004

 
6, 0, 15, 32, 4.300, 1.227, 0.004

 
6, 1, 0, 1, 0.430, 1.366, 0.004

 
6, 1, 1, 3, 0.080, 1.381, 0.004

 
6, 1, 2, 5, 0.430, 1.354, 0.004

 
6, 1, 3, 7, 0.400, 1.360, 0.004

 
6, 1, 4, 9, 0.430, 1.379, 0.004

 
6, 1, 5, 11, 0.450, 1.363, 0.004

 
6, 1, 6, 13, 0.410, 1.383, 0.004

 
6, 1, 7, 15, 0.390, 1.379, 0.004

 
6, 1, 8, 17, 0.440, 1.372, 0.004

 
6, 1, 9, 19, 0.250, 1.362, 0.004

 
6, 1, 10, 21, 0.160, 1.367, 0.004

 
6, 1, 11, 23, 0.250, 1.365, 0.004

 
6, 1, 12, 25, 0.320, 1.371, 0.004

 
6, 1, 13, 27, 0.280, 1.368, 0.004

 
6, 1, 14, 29, 0.290, 1.377, 0.004

 
6, 1, 15, 31, 0.310, 1.371, 0.004

 
7, 0, 0, 2, 0.340, 1.392, 0.004

 
7, 0, 1, 4, 0.380, 1.388, 0.004

 
7, 0, 2, 6, 0.350, 1.386, 0.004

 
7, 0, 3, 8, 0.440, 1.385, 0.004

 
7, 0, 4, 10, 0.360, 1.374, 0.004

 
7, 0, 5, 12, 0.410, 1.383, 0.004

 
7, 0, 6, 14, 0.340, 1.386, 0.004

 
7, 0, 7, 16, 0.390, 1.384, 0.004

 
7, 0, 8, 18, 0.380, 1.396, 0.004

 
7, 0, 9, 20, 0.350, 1.387, 0.004

 
7, 0, 10, 22, 0.380, 1.392, 0.004

 
